Number of words in the corpus: 6458
Number of words in the corpus_todo: 5398
Word:  Frequency: 221.0 LogProb: -1.7275852161846144
Word: #college Frequency: 0.0 LogProb: -4.0739381906352525
Word: #colombia Frequency: 0.0 LogProb: -4.0739381906352525
Word: #communityday Frequency: 0.0 LogProb: -4.0739381906352525
Word: #communityqb Frequency: 0.0 LogProb: -4.0739381906352525
Word: #communityqbmodel Frequency: 0.0 LogProb: -4.0739381906352525
Word: #convergences Frequency: 0.0 LogProb: -4.0739381906352525
Word: #cows Frequency: 0.0 LogProb: -4.0739381906352525
Word: #crowdsourcing Frequency: 0.0 LogProb: -4.0739381906352525
Word: #csr Frequency: 0.0 LogProb: -4.0739381906352525
Word: #csv Frequency: 1.0 LogProb: -3.7729081949712717
Word: #csv_number_ Frequency: 0.0 LogProb: -4.0739381906352525
Word: #csvforum Frequency: 0.0 LogProb: -4.0739381906352525
Word: #csvprize Frequency: 0.0 LogProb: -4.0739381906352525
Word: #d_number_c Frequency: 0.0 LogProb: -4.0739381906352525
Word: #dairy Frequency: 0.0 LogProb: -4.0739381906352525
Word: #dancares Frequency: 0.0 LogProb: -4.0739381906352525
Word: #dannon Frequency: 0.0 LogProb: -4.0739381906352525
Word: #danone Frequency: 0.0 LogProb: -4.0739381906352525
Word: #danone_number_ Frequency: 0.0 LogProb: -4.0739381906352525
Word: #danoneceo Frequency: 0.0 LogProb: -4.0739381906352525
Word: #danonecfo Frequency: 0.0 LogProb: -4.0739381906352525
Word: #danoneecosysteme Frequency: 0.0 LogProb: -4.0739381906352525
Word: #danoneh_number_ Frequency: 0.0 LogProb: -4.0739381906352525
Word: #danones Frequency: 0.0 LogProb: -4.0739381906352525
Word: #danonesales Frequency: 0.0 LogProb: -4.0739381906352525
Word: #danone䞻s Frequency: 0.0 LogProb: -4.0739381906352525
Word: #danonino Frequency: 0.0 LogProb: -4.0739381906352525
Word: #danoontje Frequency: 0.0 LogProb: -4.0739381906352525
Word: #danoontjestart Frequency: 0.0 LogProb: -4.0739381906352525
Word: #datawall Frequency: 0.0 LogProb: -4.0739381906352525
Word: #davidhughs Frequency: 0.0 LogProb: -4.0739381906352525
Word: #davos Frequency: 4.0 LogProb: -3.3749681862992342
Word: #debtceiling Frequency: 0.0 LogProb: -4.0739381906352525
Word: #development Frequency: 0.0 LogProb: -4.0739381906352525
Word: #diadelacomunidad Frequency: 0.0 LogProb: -4.0739381906352525
Word: #diaglobaldelacomunidad Frequency: 0.0 LogProb: -4.0739381906352525
Word: #didyouknow Frequency: 0.0 LogProb: -4.0739381906352525
Word: #digital Frequency: 0.0 LogProb: -4.0739381906352525
Word: #dino Frequency: 0.0 LogProb: -4.0739381906352525
Word: #disease Frequency: 1.0 LogProb: -3.7729081949712717
Word: #drinkh_number_o Frequency: 0.0 LogProb: -4.0739381906352525
