Number of words in the corpus: 6718
Number of words in the corpus_todo: 5398
Word:  Frequency: 612.0 LogProb: -1.295898790142403
Word: #communityqb Frequency: 0.0 LogProb: -4.083359264660818
Word: #communityqbmodel Frequency: 0.0 LogProb: -4.083359264660818
Word: #convergences Frequency: 0.0 LogProb: -4.083359264660818
Word: #cows Frequency: 0.0 LogProb: -4.083359264660818
Word: #crowdsourcing Frequency: 0.0 LogProb: -4.083359264660818
Word: #csr Frequency: 0.0 LogProb: -4.083359264660818
Word: #csv Frequency: 1.0 LogProb: -3.782329268996837
Word: #csv_number_ Frequency: 0.0 LogProb: -4.083359264660818
Word: #csvforum Frequency: 0.0 LogProb: -4.083359264660818
Word: #csvprize Frequency: 0.0 LogProb: -4.083359264660818
Word: #d_number_c Frequency: 0.0 LogProb: -4.083359264660818
Word: #dairy Frequency: 4.0 LogProb: -3.384389260324799
Word: #dancares Frequency: 1.0 LogProb: -3.782329268996837
Word: #dannon Frequency: 0.0 LogProb: -4.083359264660818
Word: #danone Frequency: 7.0 LogProb: -3.1802692776688746
Word: #danone_number_ Frequency: 0.0 LogProb: -4.083359264660818
Word: #danoneceo Frequency: 0.0 LogProb: -4.083359264660818
Word: #danonecfo Frequency: 0.0 LogProb: -4.083359264660818
Word: #danoneecosysteme Frequency: 0.0 LogProb: -4.083359264660818
Word: #danoneh_number_ Frequency: 0.0 LogProb: -4.083359264660818
Word: #danones Frequency: 0.0 LogProb: -4.083359264660818
Word: #danonesales Frequency: 1.0 LogProb: -3.782329268996837
Word: #danone䞻s Frequency: 0.0 LogProb: -4.083359264660818
Word: #danonino Frequency: 0.0 LogProb: -4.083359264660818
Word: #danoontje Frequency: 0.0 LogProb: -4.083359264660818
Word: #danoontjestart Frequency: 0.0 LogProb: -4.083359264660818
Word: #datawall Frequency: 2.0 LogProb: -3.6062380099411557
Word: #davidhughs Frequency: 0.0 LogProb: -4.083359264660818
Word: #davos Frequency: 4.0 LogProb: -3.384389260324799
Word: #debtceiling Frequency: 1.0 LogProb: -3.782329268996837
Word: #development Frequency: 1.0 LogProb: -3.782329268996837
Word: #diadelacomunidad Frequency: 0.0 LogProb: -4.083359264660818
Word: #diaglobaldelacomunidad Frequency: 1.0 LogProb: -3.782329268996837
Word: #didyouknow Frequency: 0.0 LogProb: -4.083359264660818
Word: #digital Frequency: 1.0 LogProb: -3.782329268996837
Word: #dino Frequency: 0.0 LogProb: -4.083359264660818
Word: #disease Frequency: 1.0 LogProb: -3.782329268996837
Word: #drinkh_number_o Frequency: 0.0 LogProb: -4.083359264660818
Word: #earthday Frequency: 0.0 LogProb: -4.083359264660818
Word: #earthhour Frequency: 1.0 LogProb: -3.782329268996837
Word: #ecosystem Frequency: 2.0 LogProb: -3.6062380099411557
Word: #ecuador Frequency: 0.0 LogProb: -4.083359264660818
Word: #edisonawards Frequency: 0.0 LogProb: -4.083359264660818
Word: #education Frequency: 1.0 LogProb: -3.782329268996837
Word: #efficiency Frequency: 1.0 LogProb: -3.782329268996837
Word: #eforeducation Frequency: 7.0 LogProb: -3.1802692776688746
Word: #elizacarthyband Frequency: 0.0 LogProb: -4.083359264660818
Word: #elsalvador Frequency: 0.0 LogProb: -4.083359264660818
Word: #emergencies Frequency: 0.0 LogProb: -4.083359264660818
Word: #emerging Frequency: 1.0 LogProb: -3.782329268996837
Word: #employment_number_youth Frequency: 0.0 LogProb: -4.083359264660818
Word: #endvaw Frequency: 0.0 LogProb: -4.083359264660818
Word: #energy Frequency: 1.0 LogProb: -3.782329268996837
Word: #entrepreneur Frequency: 0.0 LogProb: -4.083359264660818
Word: #entrepreneurs Frequency: 3.0 LogProb: -3.481299273332856
Word: #environment Frequency: 1.0 LogProb: -3.782329268996837
Word: #europe Frequency: 0.0 LogProb: -4.083359264660818
Word: #everystep Frequency: 1.0 LogProb: -3.782329268996837
Word: #evian Frequency: 0.0 LogProb: -4.083359264660818
Word: #expandopportunity Frequency: 0.0 LogProb: -4.083359264660818
Word: #f_number_tf Frequency: 0.0 LogProb: -4.083359264660818
Word: #fact Frequency: 0.0 LogProb: -4.083359264660818
Word: #fakemeds Frequency: 0.0 LogProb: -4.083359264660818
Word: #fashionforward Frequency: 0.0 LogProb: -4.083359264660818
Word: #fasttrack_number_ Frequency: 0.0 LogProb: -4.083359264660818
Word: #ff Frequency: 0.0 LogProb: -4.083359264660818
Word: #fi_number_ Frequency: 0.0 LogProb: -4.083359264660818
Word: #finance Frequency: 5.0 LogProb: -3.3052080142771745
Word: #financialinclusion Frequency: 2.0 LogProb: -3.6062380099411557
Word: #fonterra Frequency: 0.0 LogProb: -4.083359264660818
Word: #food Frequency: 3.0 LogProb: -3.481299273332856
Word: #forbes Frequency: 0.0 LogProb: -4.083359264660818
Word: #forbeshealth Frequency: 0.0 LogProb: -4.083359264660818
Word: #france Frequency: 0.0 LogProb: -4.083359264660818
Word: #freedomfish Frequency: 1.0 LogProb: -3.782329268996837
Word: #friends Frequency: 0.0 LogProb: -4.083359264660818
Word: #fruit Frequency: 1.0 LogProb: -3.782329268996837
Word: #ftcitiawards Frequency: 0.0 LogProb: -4.083359264660818
Word: #fuel Frequency: 1.0 LogProb: -3.782329268996837
Word: #fx Frequency: 0.0 LogProb: -4.083359264660818
Word: #fy_number_ Frequency: 0.0 LogProb: -4.083359264660818
Word: #g_number_ Frequency: 0.0 LogProb: -4.083359264660818
Word: #gcd Frequency: 1.0 LogProb: -3.782329268996837
Word: #gcd_number_ Frequency: 0.0 LogProb: -4.083359264660818
Word: #gerber Frequency: 1.0 LogProb: -3.782329268996837
Word: #getgreen Frequency: 0.0 LogProb: -4.083359264660818
Word: #gethealthystayhealthy Frequency: 2.0 LogProb: -3.6062380099411557
Word: #getvax Frequency: 5.0 LogProb: -3.3052080142771745
Word: #globalc_number_ Frequency: 0.0 LogProb: -4.083359264660818
Word: #globalcommunityday Frequency: 0.0 LogProb: -4.083359264660818
Word: #globalinvestorawards Frequency: 0.0 LogProb: -4.083359264660818
Word: #goldenoarsawardsdinner Frequency: 0.0 LogProb: -4.083359264660818
Word: #goodfoodgoodlife Frequency: 0.0 LogProb: -4.083359264660818
Word: #gpah Frequency: 0.0 LogProb: -4.083359264660818
Word: #greekyogurt Frequency: 0.0 LogProb: -4.083359264660818
Word: #green Frequency: 3.0 LogProb: -3.481299273332856
Word: #grow Frequency: 1.0 LogProb: -3.782329268996837
Word: #gsbs_number_ Frequency: 0.0 LogProb: -4.083359264660818
Word: #guigoz_number_ Frequency: 0.0 LogProb: -4.083359264660818
Word: #haiti Frequency: 1.0 LogProb: -3.782329268996837
Word: #haiyan Frequency: 0.0 LogProb: -4.083359264660818
Word: #halloween Frequency: 0.0 LogProb: -4.083359264660818
Word: #happiness=culture Frequency: 0.0 LogProb: -4.083359264660818
Word: #happyday Frequency: 0.0 LogProb: -4.083359264660818
Word: #happyfamily Frequency: 0.0 LogProb: -4.083359264660818
Word: #harlem Frequency: 0.0 LogProb: -4.083359264660818
Word: #hay Frequency: 3.0 LogProb: -3.481299273332856
Word: #hayfestival Frequency: 0.0 LogProb: -4.083359264660818
Word: #health Frequency: 13.0 LogProb: -2.93723122898258
Word: #healthcare Frequency: 0.0 LogProb: -4.083359264660818
Word: #healthierlives Frequency: 0.0 LogProb: -4.083359264660818
Word: #healthplan Frequency: 0.0 LogProb: -4.083359264660818
Word: #healthy Frequency: 6.0 LogProb: -3.2382612246465614
Word: #healthybytes Frequency: 0.0 LogProb: -4.083359264660818
Word: #healthykids Frequency: 0.0 LogProb: -4.083359264660818
Word: #healthytips Frequency: 0.0 LogProb: -4.083359264660818
Word: #heartwalknyc Frequency: 0.0 LogProb: -4.083359264660818
Word: #hemophilia Frequency: 3.0 LogProb: -3.481299273332856
Word: #hitchhiking Frequency: 0.0 LogProb: -4.083359264660818
Word: #hongkong Frequency: 0.0 LogProb: -4.083359264660818
Word: #hpv Frequency: 0.0 LogProb: -4.083359264660818
Word: #hsscircus Frequency: 0.0 LogProb: -4.083359264660818
Word: #humanity Frequency: 1.0 LogProb: -3.782329268996837
Word: #hydration Frequency: 3.0 LogProb: -3.481299273332856
Word: #ias_number_ Frequency: 0.0 LogProb: -4.083359264660818
Word: #icvconf Frequency: 0.0 LogProb: -4.083359264660818
Word: #icymi Frequency: 0.0 LogProb: -4.083359264660818
Word: #imf Frequency: 0.0 LogProb: -4.083359264660818
Word: #impinv Frequency: 1.0 LogProb: -3.782329268996837
Word: #india Frequency: 0.0 LogProb: -4.083359264660818
Word: #indonesia Frequency: 0.0 LogProb: -4.083359264660818
Word: #indulgence Frequency: 1.0 LogProb: -3.782329268996837
Word: #infographic Frequency: 1.0 LogProb: -3.782329268996837
Word: #innovation Frequency: 3.0 LogProb: -3.481299273332856
