Number of words in the corpus: 1352
Number of words in the corpus_todo: 5398
Word:  Frequency: 249.0 LogProb: -1.4313637641589874
Word: #communityday Frequency: 1.0 LogProb: -3.5282737771670436
Word: #communityqb Frequency: 0.0 LogProb: -3.829303772831025
Word: #communityqbmodel Frequency: 0.0 LogProb: -3.829303772831025
Word: #convergences Frequency: 0.0 LogProb: -3.829303772831025
Word: #cows Frequency: 0.0 LogProb: -3.829303772831025
Word: #crowdsourcing Frequency: 0.0 LogProb: -3.829303772831025
Word: #csr Frequency: 0.0 LogProb: -3.829303772831025
Word: #csv Frequency: 1.0 LogProb: -3.5282737771670436
Word: #csv_number_ Frequency: 0.0 LogProb: -3.829303772831025
Word: #csvforum Frequency: 0.0 LogProb: -3.829303772831025
Word: #csvprize Frequency: 0.0 LogProb: -3.829303772831025
Word: #d_number_c Frequency: 0.0 LogProb: -3.829303772831025
Word: #dairy Frequency: 0.0 LogProb: -3.829303772831025
Word: #dancares Frequency: 0.0 LogProb: -3.829303772831025
Word: #dannon Frequency: 0.0 LogProb: -3.829303772831025
Word: #danone Frequency: 0.0 LogProb: -3.829303772831025
Word: #danone_number_ Frequency: 0.0 LogProb: -3.829303772831025
Word: #danoneceo Frequency: 0.0 LogProb: -3.829303772831025
Word: #danonecfo Frequency: 0.0 LogProb: -3.829303772831025
Word: #danoneecosysteme Frequency: 0.0 LogProb: -3.829303772831025
Word: #danoneh_number_ Frequency: 0.0 LogProb: -3.829303772831025
Word: #danones Frequency: 0.0 LogProb: -3.829303772831025
Word: #danonesales Frequency: 0.0 LogProb: -3.829303772831025
Word: #danone䞻s Frequency: 0.0 LogProb: -3.829303772831025
Word: #danonino Frequency: 0.0 LogProb: -3.829303772831025
Word: #danoontje Frequency: 0.0 LogProb: -3.829303772831025
Word: #danoontjestart Frequency: 0.0 LogProb: -3.829303772831025
Word: #datawall Frequency: 0.0 LogProb: -3.829303772831025
Word: #davidhughs Frequency: 0.0 LogProb: -3.829303772831025
Word: #davos Frequency: 4.0 LogProb: -3.130333768495006
Word: #debtceiling Frequency: 0.0 LogProb: -3.829303772831025
Word: #development Frequency: 0.0 LogProb: -3.829303772831025
Word: #diadelacomunidad Frequency: 0.0 LogProb: -3.829303772831025
Word: #diaglobaldelacomunidad Frequency: 1.0 LogProb: -3.5282737771670436
Word: #didyouknow Frequency: 0.0 LogProb: -3.829303772831025
Word: #digital Frequency: 0.0 LogProb: -3.829303772831025
Word: #dino Frequency: 0.0 LogProb: -3.829303772831025
Word: #disease Frequency: 1.0 LogProb: -3.5282737771670436
Word: #drinkh_number_o Frequency: 0.0 LogProb: -3.829303772831025
Word: #earthday Frequency: 0.0 LogProb: -3.829303772831025
Word: #earthhour Frequency: 0.0 LogProb: -3.829303772831025
Word: #ecosystem Frequency: 0.0 LogProb: -3.829303772831025
Word: #ecuador Frequency: 0.0 LogProb: -3.829303772831025
Word: #edisonawards Frequency: 0.0 LogProb: -3.829303772831025
Word: #education Frequency: 1.0 LogProb: -3.5282737771670436
Word: #efficiency Frequency: 0.0 LogProb: -3.829303772831025
Word: #eforeducation Frequency: 0.0 LogProb: -3.829303772831025
Word: #elizacarthyband Frequency: 0.0 LogProb: -3.829303772831025
Word: #elsalvador Frequency: 0.0 LogProb: -3.829303772831025
Word: #emergencies Frequency: 0.0 LogProb: -3.829303772831025
Word: #emerging Frequency: 0.0 LogProb: -3.829303772831025
Word: #employment_number_youth Frequency: 0.0 LogProb: -3.829303772831025
Word: #endvaw Frequency: 0.0 LogProb: -3.829303772831025
Word: #energy Frequency: 0.0 LogProb: -3.829303772831025
Word: #entrepreneur Frequency: 0.0 LogProb: -3.829303772831025
Word: #entrepreneurs Frequency: 0.0 LogProb: -3.829303772831025
Word: #environment Frequency: 1.0 LogProb: -3.5282737771670436
Word: #europe Frequency: 0.0 LogProb: -3.829303772831025
Word: #everystep Frequency: 0.0 LogProb: -3.829303772831025
Word: #evian Frequency: 0.0 LogProb: -3.829303772831025
Word: #expandopportunity Frequency: 0.0 LogProb: -3.829303772831025
Word: #f_number_tf Frequency: 0.0 LogProb: -3.829303772831025
Word: #fact Frequency: 0.0 LogProb: -3.829303772831025
Word: #fakemeds Frequency: 0.0 LogProb: -3.829303772831025
Word: #fashionforward Frequency: 0.0 LogProb: -3.829303772831025
Word: #fasttrack_number_ Frequency: 0.0 LogProb: -3.829303772831025
Word: #ff Frequency: 0.0 LogProb: -3.829303772831025
Word: #fi_number_ Frequency: 0.0 LogProb: -3.829303772831025
Word: #finance Frequency: 0.0 LogProb: -3.829303772831025
Word: #financialinclusion Frequency: 0.0 LogProb: -3.829303772831025
Word: #fonterra Frequency: 0.0 LogProb: -3.829303772831025
Word: #food Frequency: 2.0 LogProb: -3.3521825181113623
Word: #forbes Frequency: 0.0 LogProb: -3.829303772831025
Word: #forbeshealth Frequency: 0.0 LogProb: -3.829303772831025
Word: #france Frequency: 0.0 LogProb: -3.829303772831025
Word: #freedomfish Frequency: 1.0 LogProb: -3.5282737771670436
Word: #friends Frequency: 0.0 LogProb: -3.829303772831025
Word: #fruit Frequency: 1.0 LogProb: -3.5282737771670436
Word: #ftcitiawards Frequency: 0.0 LogProb: -3.829303772831025
Word: #fuel Frequency: 1.0 LogProb: -3.5282737771670436
Word: #fx Frequency: 0.0 LogProb: -3.829303772831025
Word: #fy_number_ Frequency: 0.0 LogProb: -3.829303772831025
Word: #g_number_ Frequency: 0.0 LogProb: -3.829303772831025
Word: #gcd Frequency: 1.0 LogProb: -3.5282737771670436
Word: #gcd_number_ Frequency: 0.0 LogProb: -3.829303772831025
Word: #gerber Frequency: 1.0 LogProb: -3.5282737771670436
Word: #getgreen Frequency: 0.0 LogProb: -3.829303772831025
Word: #gethealthystayhealthy Frequency: 2.0 LogProb: -3.3521825181113623
Word: #getvax Frequency: 5.0 LogProb: -3.0511525224473814
Word: #globalc_number_ Frequency: 0.0 LogProb: -3.829303772831025
Word: #globalcommunityday Frequency: 0.0 LogProb: -3.829303772831025
Word: #globalinvestorawards Frequency: 0.0 LogProb: -3.829303772831025
Word: #goldenoarsawardsdinner Frequency: 0.0 LogProb: -3.829303772831025
Word: #goodfoodgoodlife Frequency: 0.0 LogProb: -3.829303772831025
Word: #gpah Frequency: 0.0 LogProb: -3.829303772831025
